Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,LP,REF,MID,2,7/5/2021,0.1733,0.1532,0.0201,18.0,17.0,17.0,18.0,17.5,10,8.750,240.53,4209.2428,8.4606,35.1750,18.29
FBPOC,LP,REF,MID,3,7/5/2021,0.2001,0.1685,0.0316,16.0,15.0,15.0,16.5,15.6,50,8.750,240.53,3758.2525,2.3752,9.8750,5.14
FBPOC,LP,REF,UPR,1,7/5/2021,0.1694,0.1501,0.0193,19.0,19.0,20.0,19.5,19.4,50,8.750,240.53,4660.2330,1.7988,7.4787,3.89
FBPOC,LP,REF,UPR,2,7/5/2021,0.1880,0.1587,0.0293,7.0,9.0,7.0,8.0,7.8,20,8.750,240.53,1864.0932,2.7309,11.3538,5.90
FBPOC,LP,REF,UPR,3,7/5/2021,0.1410,0.1351,0.0059,15.0,14.0,15.0,13.5,14.4,200,8.750,240.53,3457.5923,0.1020,0.4241,0.22
FBPOC,FH,BDA,LWR,1,7/6/2021,0.2242,0.2007,0.0235,34.5,32.0,34.0,33.5,33.5,10,8.750,240.53,8057.6933,18.9356,78.7250,40.94
FBPOC,FH,BDA,LWR,2,7/6/2021,0.1742,0.1641,0.0101,15.0,17.0,15.0,17.0,16.0,50,8.750,240.53,3848.4505,0.7774,3.2320,1.68
FBPOC,FH,BDA,LWR,3,7/6/2021,0.1966,0.1812,0.0154,30.0,27.0,25.0,27.5,27.4,1000,8.750,240.53,6584.4583,0.1014,0.4216,0.22
FBPOC,FH,BDA,MID,1,7/6/2021,0.1818,0.1666,0.0152,23.0,22.0,24.5,24.5,23.5,5,8.750,240.53,5652.4117,17.1833,71.4400,37.15
FBPOC,FH,BDA,MID,2,7/6/2021,0.2078,0.1900,0.0178,17.0,17.0,17.0,16.5,16.9,10,8.750,240.53,4058.9127,7.2249,30.0375,15.62
FBPOC,FH,BDA,MID,3,7/6/2021,0.1730,0.1610,0.0120,20.0,20.0,19.5,20.5,20.0,10,8.750,240.53,4810.5631,5.7727,24.0000,12.48
FBPOC,FH,BDA,UPR,1,7/6/2021,0.1860,0.1731,0.0129,19.5,18.0,19.0,19.0,18.9,10,8.750,240.53,4539.9690,5.8566,24.3488,12.66
FBPOC,FH,BDA,UPR,2,7/6/2021,0.1632,0.1549,0.0083,17.0,18.0,16.5,17.5,17.3,20,8.750,240.53,4149.1107,1.7219,7.1588,3.72
FBPOC,FH,BDA,UPR,3,7/6/2021,0.1739,0.1631,0.0108,15.0,13.0,15.0,15.0,14.5,20,8.750,240.53,3487.6583,1.8833,7.8300,4.07
FBPOC,FH,REF,LWR,1,7/6/2021,0.1697,0.1611,0.0086,17.0,18.0,16.0,18.0,17.3,75,8.750,240.53,4149.1107,0.4758,1.9780,1.03
FBPOC,FH,REF,LWR,2,7/6/2021,0.1850,0.1725,0.0125,10.0,10.0,8.0,9.5,9.4,50,8.750,240.53,2254.9515,0.5637,2.3438,1.22
FBPOC,FH,REF,LWR,3,7/6/2021,0.1833,0.1737,0.0096,8.5,8.0,8.0,7.0,7.9,75,8.750,240.53,1894.1592,0.2425,1.0080,0.52
